Federal organization,Fiscal year,Fleet type,GHG scope,Energy category,Fuel type,Fuel consumption (L),Energy use (GJ),Emissions (kt)
Health Canada,2010-11,On-road vehicles,1,Gasoline,gasoline,920914.5,32232.0075,2.065611224
Health Canada,2010-11,On-road vehicles,1,Natural gas,compressed natural gas,32.1764,0.0047576,2.71421E-07
"Immigration, Refugees and Citizenship Canada",2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),6573.759799,230.1835644,0.014114889
"Immigration, Refugees and Citizenship Canada",2010-11,On-road vehicles,1,Gasoline,gasoline,30656.064,1072.96224,0.068761552
Indigenous Services Canada,2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,26454.561,926.15145,0.066222344
Indigenous Services Canada,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),714.5163,25.019154,0.001534178
Indigenous Services Canada,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),16369.0815,573.031055,0.007834745
Indigenous Services Canada,2010-11,On-road vehicles,1,Gasoline,gasoline,213074.5,7457.6075,0.477926104
"Innovation, Science and Economic Development Canada",2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,83376.1468,2918.92726,0.208711225
"Innovation, Science and Economic Development Canada",2010-11,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),4083.632,142.88874,0.008231742
"Innovation, Science and Economic Development Canada",2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),58120.0845,2035.10451,0.124792897
"Innovation, Science and Economic Development Canada",2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),141.708,4.96076,6.78258E-05
"Innovation, Science and Economic Development Canada",2010-11,On-road vehicles,1,Gasoline,gasoline,462137.1,16174.7985,1.036573515
"Innovation, Science and Economic Development Canada",2010-11,On-road vehicles,1,Natural gas,compressed natural gas,117.8345,0.017423,9.93982E-07
National Defence,2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),615901.809,21548.06421,1.443119699
National Defence,2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,5771072.082,202040.2749,14.44642828
National Defence,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),5679004.369,198853.245,12.19370917
National Defence,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),3283.143,114.93271,0.001571413
National Defence,2010-11,On-road vehicles,1,Gasoline,gasoline,5914804,207018.14,13.26690537
National Defence,2010-11,On-road vehicles,1,Natural gas,compressed natural gas,21.845,0.00323,1.84272E-07
National Defence,2010-11,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),283388.509,9914.68721,0.664007694
National Defence,2010-11,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,1762486.512,61703.1384,4.33190508
National Defence,2010-11,Other mobile equipment,1,Fuels with renewable content,ethanol-blended gasoline (10%),13632.766,477.35828,0.029271677
National Defence,2010-11,Other mobile equipment,1,Gasoline,gasoline,41520,1453.2,0.09329544
National Defence,2010-11,Other mobile equipment,1,Liquified petroleum gas,propane,540.081,18.90657,0.001150634
Natural Resources Canada,2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),2980.4453,104.274457,0.006983482
Natural Resources Canada,2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,73721.378,2580.9221,0.184542938
Natural Resources Canada,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),3196.6119,111.931002,0.006863625
Natural Resources Canada,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),70855.8075,2480.443275,0.033913765
Natural Resources Canada,2010-11,On-road vehicles,1,Gasoline,gasoline,430322.6,15061.291,0.965213592
Natural Resources Canada,2010-11,On-road vehicles,1,Natural gas,compressed natural gas,19.6605,0.002907,1.65844E-07
Parks Canada,2010-11,Marine vessels,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,65640,2298,0.1624248
Parks Canada,2010-11,Marine vessels,1,Gasoline,gasoline,270000,9450,0.60021
Parks Canada,2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),729485.7,25521.933,1.709258145
Parks Canada,2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,1316042.616,46073.5212,3.294381874
Parks Canada,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),854669.412,29926.68696,1.835108687
Parks Canada,2010-11,On-road vehicles,1,Gasoline,gasoline,1837842,64324.47,4.122279606
Parks Canada,2010-11,On-road vehicles,1,Liquified petroleum gas,propane,17543.595,614.14715,0.03737635
Parks Canada,2010-11,On-road vehicles,1,Natural gas,compressed natural gas,3116.896,0.460864,2.62923E-05
Parks Canada,2010-11,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,76580,2681,0.18822118
Parks Canada,2010-11,Other mobile equipment,1,Gasoline,gasoline,160000,5600,0.35952
Public Services and Procurement Canada,2010-11,Marine vessels,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,2751.3006,96.32067,0.006808035
Public Services and Procurement Canada,2010-11,Marine vessels,1,Gasoline,gasoline,276.7,9.6845,0.000615104
Public Services and Procurement Canada,2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,116227.4133,4069.021874,0.290946113
Public Services and Procurement Canada,2010-11,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),1461.7232,51.146574,0.002946526
Public Services and Procurement Canada,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),46844.381,1640.27998,0.100582201
Public Services and Procurement Canada,2010-11,On-road vehicles,1,Gasoline,gasoline,332546.11,11639.11385,0.745900925
Public Services and Procurement Canada,2010-11,On-road vehicles,1,Natural gas,compressed natural gas,7.2217,0.0010678,6.09E-08
Public Services and Procurement Canada,2010-11,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,7677.145,268.77025,0.018869173
Public Services and Procurement Canada,2010-11,Other mobile equipment,1,Fuels with renewable content,biodiesel (20%),122.0408,4.270281,0.000246009
Public Services and Procurement Canada,2010-11,Other mobile equipment,1,Fuels with renewable content,ethanol-blended gasoline (10%),105.2096,3.683968,0.000225901
Public Services and Procurement Canada,2010-11,Other mobile equipment,1,Gasoline,gasoline,31359.34,1097.5769,0.070464437
Transport Canada,2010-11,Aircraft,1,aviation fuel,aviation gasoline,17096.947,598.21468,0.044394061
Transport Canada,2010-11,Aircraft,1,aviation fuel,jet fuel,4352500.847,152276.4562,10.50311385
Transport Canada,2010-11,Marine vessels,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,13675306.87,478760.7432,33.83925934
Transport Canada,2010-11,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,4962.70126,173.739907,0.012422875
Transport Canada,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),75474.2533,2642.769614,0.162055007
Transport Canada,2010-11,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),1253.6097,43.885009,0.000600016
Transport Canada,2010-11,On-road vehicles,1,Gasoline,gasoline,617191.73,21601.71055,1.38436105
Transport Canada,2010-11,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,2133499.108,74691.9706,5.243793675
Transport Canada,2010-11,Other mobile equipment,1,Gasoline,gasoline,17980,629.3,0.04040106
Transport Canada,2010-11,Other mobile equipment,1,Liquified petroleum gas,propane,53921.34,1887.6198,0.114878557
Agriculture and Agri-Food Canada,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),45261.593,1583.53117,0.106052451
Agriculture and Agri-Food Canada,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,341971.272,11972.1204,0.856039118
Agriculture and Agri-Food Canada,2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),479830.235,16801.5013,1.030270442
Agriculture and Agri-Food Canada,2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),72011.1615,2520.888655,0.034466753
Agriculture and Agri-Food Canada,2011-12,On-road vehicles,1,Gasoline,gasoline,1291385.2,45198.482,2.896577004
Agriculture and Agri-Food Canada,2011-12,On-road vehicles,1,Liquified petroleum gas,propane,663.714,23.23458,0.001414032
Agriculture and Agri-Food Canada,2011-12,On-road vehicles,1,Natural gas,compressed natural gas,41.891,0.006194,3.53368E-07
Agriculture and Agri-Food Canada,2011-12,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),143387.257,5016.57533,0.335970722
Agriculture and Agri-Food Canada,2011-12,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,710905.268,24888.1826,1.74728948
Agriculture and Agri-Food Canada,2011-12,Other mobile equipment,1,Fuels with renewable content,ethanol-blended gasoline (10%),57336.331,2007.66098,0.123110056
Agriculture and Agri-Food Canada,2011-12,Other mobile equipment,1,Gasoline,gasoline,120748,4226.18,0.271320756
Canada Border Services Agency,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,99119.682,3470.0949,0.248121208
Canada Border Services Agency,2011-12,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),10309.096,360.72147,0.020780967
Canada Border Services Agency,2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),599.54,20.9932,0.001287306
Canada Border Services Agency,2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),201068.469,7038.78693,0.096237543
Canada Border Services Agency,2011-12,On-road vehicles,1,Gasoline,gasoline,1543765.6,54031.796,3.462666241
Canada Border Services Agency,2011-12,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,22700.5,794.725,0.055794136
Canada Revenue Agency,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),2125.085,74.34865,0.004979287
Canada Revenue Agency,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,19760.922,691.8129,0.049466501
Canada Revenue Agency,2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),15976.774,559.43492,0.034304629
Canada Revenue Agency,2011-12,On-road vehicles,1,Gasoline,gasoline,126445,4425.575,0.283616135
Employment and Social Development Canada,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),700.7889,24.517941,0.001642019
Employment and Social Development Canada,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,6355.2648,222.49236,0.015908808
Employment and Social Development Canada,2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),33353.6673,1167.895734,0.071615532
Employment and Social Development Canada,2011-12,On-road vehicles,1,Gasoline,gasoline,338975.5,11864.1425,0.760322047
Employment and Social Development Canada,2011-12,On-road vehicles,1,Liquified petroleum gas,propane,61.2381,2.143757,0.000130467
Employment and Social Development Canada,2011-12,On-road vehicles,1,Natural gas,compressed natural gas,97.0175,0.014345,8.18382E-07
Environment and Climate Change Canada,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),9478.4226,331.613994,0.022208895
Environment and Climate Change Canada,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,172579.594,6041.8633,0.432009632
Environment and Climate Change Canada,2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),158136.8945,5537.24431,0.339544606
Environment and Climate Change Canada,2011-12,On-road vehicles,1,Gasoline,gasoline,1071402.4,37499.084,2.403155583
Environment and Climate Change Canada,2011-12,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,23000.256,805.2192,0.056530887
Environment and Climate Change Canada,2011-12,Other mobile equipment,1,Fuels with renewable content,ethanol-blended gasoline (10%),27714.22,970.4276,0.059506758
Environment and Climate Change Canada,2011-12,Other mobile equipment,1,Gasoline,gasoline,231093.7,8088.2795,0.519267544
Environment and Climate Change Canada,2011-12,Other mobile equipment,1,Liquified petroleum gas,propane,897.4599,31.417303,0.001912024
Fisheries and Oceans Canada,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,682601.3,23897.285,1.708720768
Fisheries and Oceans Canada,2011-12,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),17950.744,628.10733,0.036184921
Fisheries and Oceans Canada,2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),159580.142,5587.78036,0.342643484
Fisheries and Oceans Canada,2011-12,On-road vehicles,1,Gasoline,gasoline,2746365,96122.775,6.160096695
Fisheries and Oceans Canada,2011-12,On-road vehicles,1,Liquified petroleum gas,propane,1419.249,49.68353,0.003023687
Fisheries and Oceans Canada,2011-12,On-road vehicles,1,Natural gas,compressed natural gas,188.381,0.027854,1.58907E-06
Health Canada,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,2554.49,89.4305,0.006394524
Health Canada,2011-12,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),81.928,2.86671,0.00016515
Health Canada,2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),164958.596,5776.10968,0.354191864
Health Canada,2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),7506.186,262.76842,0.003592691
Health Canada,2011-12,On-road vehicles,1,Gasoline,gasoline,868051,30381.785,1.947038393
"Immigration, Refugees and Citizenship Canada",2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),8149.971733,285.3754321,0.017499262
"Immigration, Refugees and Citizenship Canada",2011-12,On-road vehicles,1,Gasoline,gasoline,19560.393,684.613755,0.043873962
Indigenous Services Canada,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,19858.3974,695.22543,0.049710506
Indigenous Services Canada,2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),17875.3797,625.761909,0.008555706
Indigenous Services Canada,2011-12,On-road vehicles,1,Gasoline,gasoline,207044.7,7246.5645,0.464401262
"Innovation, Science and Economic Development Canada",2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,96525.808,3379.2856,0.241628097
"Innovation, Science and Economic Development Canada",2011-12,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),8084.272,282.87354,0.01629619
"Innovation, Science and Economic Development Canada",2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),91506.243,3204.13794,0.196478193
"Innovation, Science and Economic Development Canada",2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),16.629,0.58213,7.95915E-06
"Innovation, Science and Economic Development Canada",2011-12,On-road vehicles,1,Gasoline,gasoline,415981,14559.335,0.933045383
"Innovation, Science and Economic Development Canada",2011-12,On-road vehicles,1,Liquified petroleum gas,propane,15.183,0.53151,3.23471E-05
"Innovation, Science and Economic Development Canada",2011-12,On-road vehicles,1,Natural gas,compressed natural gas,66.82,0.00988,5.63654E-07
National Defence,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),989136.303,34606.12107,2.317645545
National Defence,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,5376052.75,188210.9875,13.45759668
National Defence,2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),2778445.321,97288.68518,5.965755967
National Defence,2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),6647.985,232.72545,0.00318193
National Defence,2011-12,On-road vehicles,1,Gasoline,gasoline,5822855,203799.925,13.06066377
National Defence,2011-12,On-road vehicles,1,Natural gas,compressed natural gas,45.489,0.006726,3.83718E-07
National Defence,2011-12,Other mobile equipment,1,aviation fuel,jet fuel,29945.897,1047.6862,0.072263091
National Defence,2011-12,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),250678.505,8770.28845,0.587364874
National Defence,2011-12,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,1618391.396,56658.4922,3.97774273
National Defence,2011-12,Other mobile equipment,1,Fuels with renewable content,ethanol-blended gasoline (10%),29431.612,1030.56296,0.063194267
National Defence,2011-12,Other mobile equipment,1,Gasoline,gasoline,79574,2785.09,0.178802778
National Defence,2011-12,Other mobile equipment,1,Liquified petroleum gas,propane,74657.703,2613.53591,0.159057049
Natural Resources Canada,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),9251.1309,323.661921,0.021676327
Natural Resources Canada,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,91242.5538,3194.32341,0.228402798
Natural Resources Canada,2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),51294.37962,1796.09896,0.110137043
Natural Resources Canada,2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),30311.29782,1061.105045,0.014507918
Natural Resources Canada,2011-12,On-road vehicles,1,Gasoline,gasoline,364028.64,12741.0024,0.81651624
Natural Resources Canada,2011-12,On-road vehicles,1,Liquified petroleum gas,propane,28.92,1.0124,6.16136E-05
Parks Canada,2011-12,Marine vessels,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,65640,2298,0.1624248
Parks Canada,2011-12,Marine vessels,1,Gasoline,gasoline,270000,9450,0.60021
Parks Canada,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),1053097.557,36843.88233,2.467513176
Parks Canada,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,1157102.009,40509.14711,2.896514017
Parks Canada,2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),826923.5914,28955.15285,1.775534077
Parks Canada,2011-12,On-road vehicles,1,Gasoline,gasoline,1703330.212,59616.55742,3.820569666
Parks Canada,2011-12,On-road vehicles,1,Liquified petroleum gas,propane,23.136,0.80992,4.92909E-05
Parks Canada,2011-12,On-road vehicles,1,Natural gas,compressed natural gas,1603.45898,0.23708732,1.35258E-05
Parks Canada,2011-12,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,76580,2681,0.18822118
Parks Canada,2011-12,Other mobile equipment,1,Gasoline,gasoline,160000,5600,0.35952
Public Services and Procurement Canada,2011-12,Marine vessels,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,4237.8278,148.36271,0.010486416
Public Services and Procurement Canada,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,89274.4478,3125.42171,0.223476139
Public Services and Procurement Canada,2011-12,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),3538.6512,123.819534,0.007133176
Public Services and Procurement Canada,2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),52883.5861,1851.745838,0.113549317
Public Services and Procurement Canada,2011-12,On-road vehicles,1,Gasoline,gasoline,308318.79,10791.15765,0.691559046
Public Services and Procurement Canada,2011-12,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,6036.5826,211.33557,0.014836938
Public Services and Procurement Canada,2011-12,Other mobile equipment,1,Fuels with renewable content,ethanol-blended gasoline (10%),887.4159,31.073322,0.001905421
Public Services and Procurement Canada,2011-12,Other mobile equipment,1,Gasoline,gasoline,43580.82,1525.3287,0.097926103
Transport Canada,2011-12,Aircraft,1,aviation fuel,aviation gasoline,1140.978,39.92232,0.002962672
Transport Canada,2011-12,Aircraft,1,aviation fuel,jet fuel,2489668.93,87103.478,6.007873894
Transport Canada,2011-12,Marine vessels,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,14185008.69,496604.9659,35.10050577
Transport Canada,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),320.665,11.21885,0.00075135
Transport Canada,2011-12,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,7377.89224,258.293668,0.018468699
Transport Canada,2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),87031.6439,3047.457562,0.18687053
Transport Canada,2011-12,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),504.1479,17.648663,0.000241301
Transport Canada,2011-12,On-road vehicles,1,Gasoline,gasoline,518340.1,18141.9035,1.162636844
Transport Canada,2011-12,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,2109688.198,73858.3711,5.185270332
Transport Canada,2011-12,Other mobile equipment,1,Gasoline,gasoline,17139,599.865,0.038511333
Transport Canada,2011-12,Other mobile equipment,1,Liquified petroleum gas,propane,58069.191,2032.82327,0.123715488
Agriculture and Agri-Food Canada,2012-13,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),56036.4805,1960.503545,0.131299093
Agriculture and Agri-Food Canada,2012-13,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,368323.5549,12894.69118,0.922005434
Agriculture and Agri-Food Canada,2012-13,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),432570.953,15146.69335,0.928797383
Agriculture and Agri-Food Canada,2012-13,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),61070.364,2137.88508,0.029230151
Agriculture and Agri-Food Canada,2012-13,On-road vehicles,1,Gasoline,gasoline,1225100.25,42878.50875,2.747899861
Agriculture and Agri-Food Canada,2012-13,On-road vehicles,1,Liquified petroleum gas,propane,95.436,3.34092,0.000203325
Agriculture and Agri-Food Canada,2012-13,On-road vehicles,1,Natural gas,compressed natural gas,72.731,0.010754,6.13516E-07
Agriculture and Agri-Food Canada,2012-13,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),148358.108,5190.48652,0.347617924
Agriculture and Agri-Food Canada,2012-13,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,463710.9356,16234.12142,1.139726031
Agriculture and Agri-Food Canada,2012-13,Other mobile equipment,1,Fuels with renewable content,ethanol-blended gasoline (10%),28226.28518,988.3578244,0.060606242
Agriculture and Agri-Food Canada,2012-13,Other mobile equipment,1,Gasoline,gasoline,311848,10914.68,0.700722456
Agriculture and Agri-Food Canada,2012-13,Other mobile equipment,1,Liquified petroleum gas,propane,1637.595,57.32715,0.00348887
Canada Border Services Agency,2012-13,Marine vessels,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,11848.02,414.789,0.029317676
Canada Border Services Agency,2012-13,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,75469.3712,2642.11784,0.1889186
Canada Border Services Agency,2012-13,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),8497.104,297.31878,0.017128373
Canada Border Services Agency,2012-13,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),233223.171,8164.42387,0.111627771
Canada Border Services Agency,2012-13,On-road vehicles,1,Gasoline,gasoline,1394850.6,48819.771,3.128649896
Canada Revenue Agency,2012-13,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",biodiesel (5%),196.747,6.88343,0.000460998
Canada Revenue Agency,2012-13,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,20207.274,707.4393,0.050583831
Canada Revenue Agency,2012-13,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),12289.603,430.32674,0.026387697
Canada Revenue Agency,2012-13,On-road vehicles,1,Gasoline,gasoline,109675,3838.625,0.246001025
Employment and Social Development Canada,2012-13,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,3504.082,122.6749,0.008771588
Employment and Social Development Canada,2012-13,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),28445.272,996.02576,0.061076441
Employment and Social Development Canada,2012-13,On-road vehicles,1,Gasoline,gasoline,277225,9702.875,0.621815675
Employment and Social Development Canada,2012-13,On-road vehicles,1,Natural gas,compressed natural gas,69.133,0.010222,5.83165E-07
Employment and Social Development Canada,2012-13,Other mobile equipment,1,Fuels with renewable content,ethanol-blended gasoline (10%),30.944,1.08352,6.64416E-05
Employment and Social Development Canada,2012-13,Other mobile equipment,1,Liquified petroleum gas,propane,22.413,0.78461,4.77505E-05
Environment and Climate Change Canada,2012-13,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,166975.2508,5845.66006,0.417980568
Environment and Climate Change Canada,2012-13,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),159790.2711,5595.138138,0.343094664
Environment and Climate Change Canada,2012-13,On-road vehicles,1,Gasoline,gasoline,977433.5,34210.1725,2.192383341
Environment and Climate Change Canada,2012-13,Other mobile equipment,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,22700.0624,794.70968,0.05579306
Environment and Climate Change Canada,2012-13,Other mobile equipment,1,Fuels with renewable content,ethanol-blended gasoline (10%),18771.5007,657.293706,0.040305343
Environment and Climate Change Canada,2012-13,Other mobile equipment,1,Gasoline,gasoline,185807.5,6503.2625,0.417509453
Environment and Climate Change Canada,2012-13,Other mobile equipment,1,Liquified petroleum gas,propane,55.5987,1.946339,0.000118452
Fisheries and Oceans Canada,2012-13,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,687888.602,24082.3889,1.7219562
Fisheries and Oceans Canada,2012-13,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),22188.656,776.39442,0.044727659
Fisheries and Oceans Canada,2012-13,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),141721.586,4962.45388,0.304298375
Fisheries and Oceans Canada,2012-13,On-road vehicles,1,Gasoline,gasoline,2580950,90333.25,5.78907085
Fisheries and Oceans Canada,2012-13,On-road vehicles,1,Liquified petroleum gas,propane,3092.271,108.25087,0.006588034
Fisheries and Oceans Canada,2012-13,On-road vehicles,1,Natural gas,compressed natural gas,43.947,0.006498,3.70711E-07
Health Canada,2012-13,On-road vehicles,1,"fuel oil (1,2,4,5,6, diesel, kerosene)",diesel,5179.8712,181.34284,0.012966505
Health Canada,2012-13,On-road vehicles,1,Fuels with renewable content,biodiesel (20%),41.7088,1.459416,8.40762E-05
Health Canada,2012-13,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),180418.6052,6317.449816,0.387386918
Health Canada,2012-13,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (85%),3257.7657,114.044329,0.001559267
Health Canada,2012-13,On-road vehicles,1,Gasoline,gasoline,864741.7,30265.9595,1.939615633
Health Canada,2012-13,On-road vehicles,1,Liquified petroleum gas,propane,17.5689,0.615033,3.74303E-05
Health Canada,2012-13,On-road vehicles,1,Natural gas,compressed natural gas,11.1024,0.0016416,9.37E-08
"Immigration, Refugees and Citizenship Canada",2012-13,On-road vehicles,1,Fuels with renewable content,ethanol-blended gasoline (10%),7679.555243,268.9035579,0.016489204
"Immigration, Refugees and Citizenship Canada",2012-13,On-road vehicles,1,Gasoline,gasoline,23706.371,829.722985,0.05317339
